original_filename,poisoned_filename,label,attack_type,prediction_after_denoiser
a8c3363bbcc7015c.png,00Mh165XHSqXic4aD0jk.png,739,FGSM_0.03,726
393d40f3a6a79400.png,02gqUARaXbNwMa3Tw9l7.png,328,FGSM_0.02,917
8805b0b20d808c49.png,02zGl18vhk4ANktQtZA1.png,704,FGSM_0.03,111
871c99d5658c3189.png,03TyPHkkSPVl27Hel59T.png,956,PGD,585
9a49001b63903f72.png,03lid1BRmbFSXvEfmfal.png,769,BIM,917
e5f15610a22098bb.png,047jYvKX8pywGOpI7LjM.png,672,PGD,726
8af30e5c3fa48a08.png,058MLMulEVgEzBEKPKjl.png,696,PGD,726
84640859ee739095.png,05NDDxLkqvHhRYHSTUky.png,720,BIM,726
d740663eeccdcecd.png,05x36iku8XOs5DaoC5cg.png,438,BIM,111
435137d9d4f4125e.png,05zUpVcKrwj3qxWDRZH0.png,2,FGSM_0.05,111
c8abefc975e94b10.png,062N2lriQTNTSomIAiAR.png,875,BIM,774
9a5913e0fb6d0866.png,066CzigVzLvvweLMHUx0.png,767,FGSM_0.04,774
dad40e355e4e8e96.png,06KYPmysV39GrxCswIxp.png,655,BIM,774
eb53098ebcf05e64.png,06rzQgYJdhzgW9Aw30uJ.png,564,BIM,917
a92babc0a6436d3b.png,07c4hd99fWMPF9OxCHdK.png,760,FGSM_0.01,819
af2ac1705dc19a5f.png,07yIzzeEee2UF69Vk3WR.png,384,FGSM_0.05,111
bc7dff0960bb3335.png,08AtLzOnvKbZVpwrf153.png,443,FGSM_0.03,917
6bea02f26beef50d.png,08NndlKGGWbQIfxOE0XK.png,709,FGSM_0.05,111
212476b1b58a0cfe.png,08VHDBjtigguuNnGLHpz.png,512,BIM,726
0be391239ccba0f2.png,08rfZmgjjpot9aMLGGZT.png,719,BIM,726
1f7c25207bc3e303.png,09K9IhFlBFo1GR3AXOAk.png,476,FGSM_0.01,774
f63d58b5af16091f.png,0ANfV6m6BSNpHhIR0qVJ.png,716,BIM,726
7e73c7adc520e406.png,0Ag1gY5rEJZWoNobD02Y.png,133,BIM,726
23f39187c0d00e30.png,0AsGWVTGNWcTVnrk8YNd.png,972,PGD,766
6efed50f84ec5e01.png,0DrIIBGHVQpc0Zg6qmhU.png,947,FGSM_0.05,989
7e4c41563370bed1.png,0Fet7vN7Oj34us237DHd.png,719,FGSM_0.04,111
7e0fb7f80ffa514b.png,0FmpPnakpkeNXjl8wyFm.png,655,FGSM_0.05,917
fb1efda0b27d5289.png,0G5UtJFqdIG3Namo6biV.png,848,FGSM_0.05,726
40f79488e3c2d6c4.png,0G5iBPTTGXZBQLvKPDaQ.png,918,FGSM_0.01,490
0b1d45bd9ab1064e.png,0GLoiuxJJxLa5vZk5ifv.png,561,FGSM_0.01,111
ed56c7616a8ac010.png,0HMXGtIgvmfYgLxfCByc.png,782,FGSM_0.01,917
52d8515abbfaa8ac.png,0IDcTS1VqxrdFgO5NrtX.png,230,FGSM_0.05,111
ebdfdcba5dc3b72a.png,0IZzhM1bcrMqmmBylSWM.png,868,FGSM_0.03,503
51d1c77f80467b59.png,0IaeNEXpP1pW7rt1tNYc.png,977,FGSM_0.03,917
61ed2594a0524631.png,0JAw2qm9qBFbhMQF0oKx.png,472,FGSM_0.05,726
828ade8df2d14c45.png,0JfugvGtR1V5bBce1rTd.png,888,FGSM_0.03,726
d7984e6e1a51b3c4.png,0K3DwKGk6psgL5TqSe4I.png,518,FGSM_0.03,726
dde33b51c8c152d2.png,0LRI7yHTqYbxMHM4xREc.png,735,FGSM_0.02,774
134bfd93a04b88b2.png,0LdClxa65E5ADYY73kFj.png,581,FGSM_0.03,774
869adfbad4e38261.png,0LpQuHRTeQxcRuiLey5l.png,592,FGSM_0.01,917
7c249a944594a62e.png,0MilqeRA39Zpb3U1BAnC.png,990,PGD,503
