Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,389,0.6109115,389
577,0.9322362,744,0.23418757,577
327,0.86044884,329,0.17063697,327
138,0.9732808,51,0.33074978,138
91,0.9358178,91,0.9428467,91
982,0.9730243,982,0.11020735,982
10,0.97297543,343,0.16266508,10
472,0.9774131,670,0.05726793,472
304,0.83534724,304,0.32050022,304
968,0.9663726,968,0.9700487,968
451,0.99904424,451,0.09346461,451
327,0.9756659,497,0.091068245,327
580,0.99888784,533,0.18461323,580
975,0.99584585,592,0.17918469,975
625,0.9847936,407,0.33116683,625
18,0.9722945,11,0.1796001,18
664,0.9354684,484,0.8525247,664
968,0.9276822,850,0.7347717,968
426,0.9240106,916,0.63430214,426
653,0.9543461,468,0.13661686,653
465,0.93525666,423,0.101393156,465
810,0.8261997,634,0.17707382,810
108,0.9746312,34,0.067864895,108
673,0.55725205,560,0.0726325,673
254,0.5702473,189,0.1783673,254
854,0.9608202,356,0.08862814,854
973,0.5404487,722,0.05533852,973
704,0.8592668,662,0.3740773,704
108,0.9356923,611,0.081882864,108
964,0.9426027,862,0.069104105,964
354,0.9287883,354,0.60821676,354
606,0.8611868,614,0.14001377,606
760,0.86267716,733,0.38088718,760
983,0.42076153,637,0.59310335,983
484,0.81842774,612,0.07381012,484
734,0.99651587,734,0.09660152,734
561,0.98979247,561,0.6706777,561
484,0.94695675,484,0.76433414,484
561,0.6463696,612,0.8087228,561
566,0.97391164,449,0.8924438,566
719,0.95877916,719,0.5251426,719
306,0.68408704,303,0.59661007,306
484,0.9472565,484,0.56993717,484
973,0.44569343,670,0.05903942,973
771,0.9684921,631,0.3965971,771
571,0.980414,692,0.7250749,571
324,0.9548405,324,0.7561347,324
816,0.9764054,742,0.16614498,816
962,0.9966761,962,0.6481553,962
539,0.7563011,578,0.19162671,539
114,0.9943632,118,0.61090183,114
878,0.50751364,599,0.0876917,878
822,0.9474565,457,0.181928,822
367,0.99625313,150,0.20039262,367
763,0.58613485,780,0.8555439,763
753,0.90894765,616,0.56578076,753
760,0.9551128,705,0.22435708,760
744,0.59328043,789,0.14057216,744
894,0.13841715,751,0.17297517,894
50,0.9534035,51,0.44324887,50
23,0.67134935,390,0.14916022,23
826,0.9470836,751,0.3150735,826
462,0.15364887,421,0.076488204,477
459,0.9883111,540,0.2055528,459
471,0.9998865,478,0.13789612,471
98,0.7045383,84,0.21894772,98
815,0.98819643,778,0.731559,815
583,0.92528534,566,0.94884825,583
581,0.9507373,97,0.22752191,581
799,0.4733762,742,0.64695555,620
876,0.9095277,876,0.13693888,876
610,0.72760195,437,0.643823,610
422,0.8615604,380,0.086060464,422
514,0.79046094,559,0.46270344,514
615,0.5305377,776,0.17449363,776
702,0.99971825,705,0.14986643,702
923,0.9338562,412,0.19062936,923
469,0.89910793,612,0.5271297,469
95,0.8489005,371,0.42140755,95
979,0.73401284,751,0.37991768,979
142,0.8845876,132,0.12191813,142
228,0.8446691,675,0.14227791,228
566,0.30706584,778,0.09417004,566
556,0.95706886,556,0.6739938,556
966,0.84846514,70,0.23495364,966
991,0.5219847,851,0.10384812,991
859,0.80019224,854,0.6643756,859
518,0.9737578,725,0.041710366,518
815,0.9554382,607,0.114137314,815
761,0.5825841,447,0.2527454,761
778,0.9861253,474,0.24055818,778
985,0.89672214,426,0.029621681,985
855,0.7090082,599,0.4617264,855
932,0.8824644,516,0.07772764,932
608,0.97892463,738,0.29664668,608
870,0.9619102,870,0.94222695,870
657,0.39802316,408,0.20154385,657
898,0.98040366,415,0.13174738,898
960,0.52403957,869,0.15262847,960
960,0.97418606,960,0.19466081,960
423,0.96350235,788,0.24005668,423
860,0.99963725,749,0.29932827,860
641,0.8981874,641,0.85984224,641
650,0.784763,864,0.08955545,650
58,0.9860881,68,0.11051517,58
410,0.51950103,827,0.25513446,410
